,year,importer1,importer2,flow1,flow2
0,1950,United States of America,Canada,2101.0,2162.1001
1,1950,United States of America,Cuba,436.0,448.25
2,1950,United States of America,Haiti,24.0,28.4
3,1950,United States of America,Dominican Republic,41.0,35.310001
4,1950,United States of America,Mexico,338.0,429.60001
5,1950,United States of America,Guatemala,57.0,48.700001
6,1950,United States of America,Honduras,21.0,28.16
7,1950,United States of America,El Salvador,55.0,31.700001
8,1950,United States of America,Nicaragua,20.0,22.0
9,1950,United States of America,Costa Rica,26.0,30.9
10,1950,United States of America,Panama,11.0,48.400002
11,1950,United States of America,Colombia,335.0,255.39999
12,1950,United States of America,Venezuela,347.0,404.79999
13,1950,United States of America,Ecuador,37.0,30.25
14,1950,United States of America,Peru,53.0,98.599998
15,1950,United States of America,Brazil,767.0,416.45999
16,1950,United States of America,Bolivia,38.0,25.85
17,1950,United States of America,Paraguay,7.0,3.0
18,1950,United States of America,Chile,172.0,118.5
19,1950,United States of America,Argentina,221.0,146.0
20,1950,United States of America,Uruguay,114.0,39.200001
21,1950,United States of America,United Kingdom,359.0,592.29999
22,1950,United States of America,Ireland,3.0,61.799999
23,1950,United States of America,Netherlands,91.0,237.0
24,1950,United States of America,Belgium,144.38741,293.68399
25,1950,United States of America,Luxembourg,5.612576,11.41598
26,1950,United States of America,France,141.0,376.10001
27,1950,United States of America,Switzerland,118.0,145.5
28,1950,United States of America,Spain,54.0,51.400002
29,1950,United States of America,Portugal,26.0,42.900002
30,1950,United States of America,Poland,12.0,9.0
31,1950,United States of America,Hungary,2.0,3.0
32,1950,United States of America,Czechoslovakia,28.0,11.0
33,1950,United States of America,Italy,116.0,348.0
34,1950,United States of America,Yugoslavia,20.0,48.599998
35,1950,United States of America,Greece,19.0,138.89999
36,1950,United States of America,Bulgaria,3.0,1.0
37,1950,United States of America,Romania,0.0,2.0
38,1950,United States of America,Russia,41.0,1.0
39,1950,United States of America,Finland,37.0,22.700001
40,1950,United States of America,Sweden,76.0,101.2
41,1950,United States of America,Norway,44.0,82.5
42,1950,United States of America,Denmark,13.0,78.800003
