,year,importer1,importer2,flow1,flow2
0,1947,United States of America,Cuba,509.62,491.84
1,1947,United States of America,Haiti,20.139999,25.209999
2,1947,United States of America,Dominican Republic,30.219999,49.32
3,1947,United States of America,Paraguay,2.26,7.7399998
4,1947,United States of America,Netherlands,26.469999,451.10999
5,1947,United States of America,France,47.009998,2678.011
6,1947,United States of America,Spain,76.0,9.5400001e-06
7,1947,United States of America,Poland,1.33,107.7
8,1947,United States of America,Czechoslovakia,23.200001,60.31245
9,1947,United States of America,Albania,0.0080000004,4.5500002
10,1947,United States of America,Yugoslavia,5.7600002,31.49
11,1947,United States of America,Greece,16.629999,166.50999
12,1947,United States of America,Norway,22.1,191.5
13,1947,United States of America,Denmark,5.1300001,126.23
14,1947,United States of America,Ethiopia,5.5799999,8.0799999
15,1947,United States of America,Egypt,28.08,60.110001
16,1947,United States of America,Syria,7.77,43.150002
17,1947,Canada,Cuba,21.85,6.8600001
18,1947,Canada,Haiti,0.2,1.25
19,1947,Canada,Dominican Republic,7.5300002,1.75
20,1947,Canada,Paraguay,0.20999999,0.14
21,1947,Canada,Netherlands,3.24,0.0
22,1947,Canada,France,8.0500002,224.47986
23,1947,Canada,Poland,0.002513,14.07
24,1947,Canada,Czechoslovakia,3.3499999,7.3200002
25,1947,Canada,Albania,0.0,0.46000001
26,1947,Canada,Yugoslavia,0.02,6.1500001
27,1947,Canada,Greece,0.079999998,4.98
28,1947,Canada,Norway,4.5900002,20.290001
29,1947,Canada,Denmark,1.33,4.23
30,1947,Canada,Ethiopia,0.0082780002,0.079999998
31,1947,Canada,Egypt,0.18000001,9.9899998
32,1947,Canada,Syria,0.02,2.3299999
33,1947,Cuba,Nicaragua,0.1,0.0099999998
34,1947,Cuba,Costa Rica,0.18000001,0.14
35,1947,Cuba,Colombia,0.0,1.87
36,1947,Cuba,Peru,0.0049109999,0.31999999
37,1947,Cuba,Brazil,0.0,0.07
38,1947,Cuba,Argentina,0.0,0.25
39,1947,Cuba,United Kingdom,27.969999,162.11
40,1947,Cuba,Ireland,0.0,0.79000002
41,1947,Cuba,Netherlands,0.0,10.31
42,1947,Cuba,France,0.02,15.248394
43,1947,Cuba,Switzerland,1.0700001,7.25
44,1947,Cuba,Spain,0.18000001,2.6500001
45,1947,Cuba,Portugal,0.0099999998,3.02
46,1947,Cuba,Czechoslovakia,0.02,0.22
47,1947,Cuba,Italy,0.0,0.0
48,1947,Cuba,Sweden,1.21,1.09
49,1947,Cuba,Norway,0.75,0.11
50,1947,Cuba,Denmark,0.0,0.00020900001
51,1947,Cuba,South Africa,0.0,0.55000001
52,1947,Cuba,India,0.0,0.0061750002
53,1947,Cuba,Australia,0.0,0.07
54,1947,Cuba,New Zealand,0.0,0.02
55,1947,Haiti,Costa Rica,0.0,0.0
56,1947,Haiti,Colombia,0.0,0.079999998
57,1947,Haiti,Peru,0.000231,0.00121
58,1947,Haiti,Brazil,0.0,0.0
59,1947,Haiti,Argentina,0.0,0.005806
60,1947,Haiti,United Kingdom,1.83,4.1799998
61,1947,Haiti,Netherlands,0.0,0.0
62,1947,Haiti,France,0.0022549999,2.523751
63,1947,Haiti,Switzerland,0.02,0.74000001
64,1947,Haiti,Spain,8e-06,0.0
65,1947,Haiti,Portugal,7.5999997e-05,0.00036199999
66,1947,Haiti,Italy,0.0,0.0
67,1947,Haiti,Norway,0.0048679998,3.24
68,1947,Haiti,South Africa,0.0,0.0055300002
69,1947,Haiti,Australia,0.0,0.00054899999
70,1947,Haiti,New Zealand,0.0,0.0
71,1947,Dominican Republic,Nicaragua,0.0,0.0
72,1947,Dominican Republic,Costa Rica,0.029999999,1.8000001e-05
73,1947,Dominican Republic,Colombia,0.0,0.000124
74,1947,Dominican Republic,Peru,0.001874,0.00048399999
75,1947,Dominican Republic,Argentina,0.0,0.029999999
76,1947,Dominican Republic,United Kingdom,3.9300001,40.419998
77,1947,Dominican Republic,Netherlands,0.0,0.0
78,1947,Dominican Republic,France,0.0020059999,7.7534347
