,year,importer1,importer2,flow1,flow2
0,1945,United States of America,Cuba,337.57999,195.75
1,1945,United States of America,Haiti,15.95,9.6099997
2,1945,United States of America,Dominican Republic,14.46,18.77
3,1945,United States of America,Paraguay,6.2199998,2.5599999
4,1945,United States of America,Netherlands,5.3600001,82.150002
5,1945,United States of America,France,13.28,606.04346
6,1945,United States of America,Spain,57.990002,51.48
7,1945,United States of America,Germany,1.1,2.2
8,1945,United States of America,Poland,0.001,84.620003
9,1945,United States of America,Czechoslovakia,0.49000001,51.950001
10,1945,United States of America,Albania,0.0,6.9099998
11,1945,United States of America,Yugoslavia,0.19,90.559998
12,1945,United States of America,Greece,0.34,93.190002
13,1945,United States of America,Norway,1.27,19.02
14,1945,United States of America,Denmark,0.25,5.2199998
15,1945,United States of America,Ethiopia,1.0700001,1.5
16,1945,United States of America,Egypt,11.23,164.78999
17,1945,United States of America,Japan,0.13,0.63
18,1945,Canada,Cuba,6.79,0.0
19,1945,Canada,Haiti,0.46000001,0.0
20,1945,Canada,Dominican Republic,5.6100001,0.0
21,1945,Canada,Paraguay,0.20999999,0.0
22,1945,Canada,Netherlands,0.36000001,0.0
23,1945,Canada,France,0.23999999,47.516796
24,1945,Canada,Germany,0.001905,0.0
25,1945,Canada,Poland,0.0,0.0
26,1945,Canada,Czechoslovakia,0.0,0.0
27,1945,Canada,Albania,0.0,0.0
28,1945,Canada,Yugoslavia,0.0,0.0
29,1945,Canada,Greece,0.002144,0.0
30,1945,Canada,Norway,0.56999999,0.0
31,1945,Canada,Denmark,0.0053750002,0.0
32,1945,Canada,Ethiopia,0.001619,0.0
33,1945,Canada,Egypt,0.19,0.0
34,1945,Canada,Japan,0.0,0.0
35,1945,Cuba,Mexico,0.0,4.3899999
36,1945,Cuba,Nicaragua,0.004404,0.02
37,1945,Cuba,Costa Rica,0.0029150001,0.63
38,1945,Cuba,Colombia,0.0,2.4000001
39,1945,Cuba,Venezuela,0.0,1.1900001
40,1945,Cuba,Peru,0.0,0.34
41,1945,Cuba,Brazil,0.0,0.07
42,1945,Cuba,Argentina,0.0,2.24
43,1945,Cuba,United Kingdom,0.0,53.610001
44,1945,Cuba,France,0.0,10.490499
45,1945,Cuba,Italy,0.0,0.0
46,1945,Cuba,South Africa,0.0,0.25
47,1945,Cuba,Australia,0.0,0.029999999
48,1945,Cuba,New Zealand,0.0,0.0099999998
49,1945,Haiti,Mexico,0.0,0.00025799999
50,1945,Haiti,Costa Rica,0.0,2.4999999e-05
51,1945,Haiti,Colombia,0.0,0.75
52,1945,Haiti,Venezuela,0.0,0.029999999
53,1945,Haiti,Peru,0.0,0.000183
54,1945,Haiti,Brazil,0.0,0.0
55,1945,Haiti,Argentina,0.0,0.00098300003
56,1945,Haiti,United Kingdom,0.0,2.5799999
57,1945,Haiti,France,0.0,0.00045299999
58,1945,Haiti,Italy,0.0,0.0
59,1945,Haiti,South Africa,0.0,0.0
60,1945,Haiti,Australia,0.0,1.8999999e-05
61,1945,Haiti,New Zealand,0.0,0.0
62,1945,Dominican Republic,Mexico,0.0,1.01
63,1945,Dominican Republic,Nicaragua,0.0,0.0
64,1945,Dominican Republic,Costa Rica,7.8999998e-05,0.00028599999
65,1945,Dominican Republic,Colombia,0.0,0.0099999998
66,1945,Dominican Republic,Venezuela,0.0,0.20999999
67,1945,Dominican Republic,Peru,0.0,0.000187
68,1945,Dominican Republic,Argentina,0.0,2.9999999e-05
69,1945,Dominican Republic,United Kingdom,0.0,22.290001
70,1945,Dominican Republic,France,0.0,0.36000001
71,1945,Dominican Republic,Italy,0.0,0.0
72,1945,Dominican Republic,South Africa,0.0,0.0
73,1945,Dominican Republic,New Zealand,0.0,0.000158
74,1945,Mexico,Paraguay,0.0072460002,0.0
75,1945,Mexico,Netherlands,3.0000001e-06,0.0
76,1945,Mexico,France,0.079999998,0.54000002
77,1945,Mexico,Germany,0.002695,0.0
78,1945,Mexico,Poland,0.0,0.0
79,1945,Mexico,Czechoslovakia,0.0,0.0
80,1945,Mexico,Albania,0.0,0.0
81,1945,Mexico,Yugoslavia,0.0,0.0
82,1945,Mexico,Greece,0.0,0.0
83,1945,Mexico,Norway,0.0046399999,0.0
84,1945,Mexico,Denmark,0.0059930002,0.0
85,1945,Mexico,Ethiopia,0.0,0.0
86,1945,Mexico,Egypt,2e-06,0.0
87,1945,Mexico,Japan,0.0,0.0
88,1945,Guatemala,France,0.0,0.0
89,1945,Honduras,France,0.0,0.0
90,1945,El Salvador,France,0.0,0.003489
91,1945,Nicaragua,Netherlands,0.0,0.0
92,1945,Nicaragua,France,0.0,0.0
93,1945,Nicaragua,Germany,0.0,0.0
94,1945,Nicaragua,Czechoslovakia,0.0,0.0
95,1945,Nicaragua,Yugoslavia,0.0,0.0
96,1945,Nicaragua,Norway,0.0,0.0
97,1945,Nicaragua,Denmark,0.0,0.0
98,1945,Nicaragua,Japan,0.0,0.0
99,1945,Costa Rica,Paraguay,0.0,0.0
100,1945,Costa Rica,Netherlands,0.0,0.0
101,1945,Costa Rica,France,0.0074880002,1.9999999e-05
102,1945,Costa Rica,Germany,0.0,0.0
103,1945,Costa Rica,Poland,0.0,0.0
104,1945,Costa Rica,Czechoslovakia,0.0,0.0
105,1945,Costa Rica,Yugoslavia,0.0,0.0
