,source,target,value
0,Cuba,United States of America,386.98001
1,United States of America,Cuba,167.37
2,Haiti,United States of America,12.49
3,United States of America,Haiti,9.25
4,Dominican Republic,United States of America,16.700001
5,United States of America,Dominican Republic,14.04
6,Paraguay,United States of America,3.6400001
7,United States of America,Paraguay,1.85
8,France,United States of America,0.40000001
9,United States of America,France,1264.22
10,Spain,United States of America,43.98
11,United States of America,Spain,36.490002
12,Germany,United States of America,0.07
13,United States of America,Germany,0.0
14,Albania,United States of America,0.0
15,United States of America,Albania,0.0
16,Yugoslavia,United States of America,0.0
17,United States of America,Yugoslavia,0.0
18,Greece,United States of America,0.0060000001
19,United States of America,Greece,21.530001
20,Ethiopia,United States of America,0.72000003
21,United States of America,Ethiopia,0.83999997
22,Egypt,United States of America,9.9399996
23,United States of America,Egypt,491.04001
24,Japan,United States of America,0.0099999998
25,United States of America,Japan,0.0
26,Cuba,Canada,3.8
27,Canada,Cuba,0.0
28,Haiti,Canada,1.88
29,Canada,Haiti,0.0
30,Dominican Republic,Canada,4.4499998
31,Canada,Dominican Republic,0.0
32,Paraguay,Canada,0.18000001
33,Canada,Paraguay,0.0
34,France,Canada,0.0080610001
35,Canada,France,329.23001
36,Germany,Canada,0.0
37,Canada,Germany,0.0
38,Albania,Canada,0.0
39,Canada,Albania,0.0
40,Yugoslavia,Canada,0.0
41,Canada,Yugoslavia,0.0
42,Greece,Canada,0.0
43,Canada,Greece,0.0
44,Ethiopia,Canada,0.0
45,Canada,Ethiopia,0.0
46,Egypt,Canada,0.16
47,Canada,Egypt,0.0
48,Japan,Canada,0.0
49,Canada,Japan,0.0
50,Mexico,Cuba,0.0
51,Cuba,Mexico,1.13
52,Nicaragua,Cuba,0.11
53,Cuba,Nicaragua,0.02
54,Costa Rica,Cuba,0.0025810001
55,Cuba,Costa Rica,0.039999999
56,Colombia,Cuba,0.0
57,Cuba,Colombia,0.49000001
58,Venezuela,Cuba,0.0
59,Cuba,Venezuela,0.16
60,Peru,Cuba,0.0
61,Cuba,Peru,0.28999999
62,Brazil,Cuba,0.0
63,Cuba,Brazil,0.039999999
64,Argentina,Cuba,0.0
65,Cuba,Argentina,1.87
66,United Kingdom,Cuba,0.0
67,Cuba,United Kingdom,35.720001
68,France,Cuba,0.0
69,Cuba,France,0.059999999
70,Italy,Cuba,0.0
71,Cuba,Italy,0.0
72,South Africa,Cuba,0.0
73,Cuba,South Africa,0.02
74,Australia,Cuba,0.0
75,Cuba,Australia,0.079999998
76,New Zealand,Cuba,0.0
77,Cuba,New Zealand,0.0
78,Mexico,Haiti,0.0
79,Haiti,Mexico,2.6e-05
80,Costa Rica,Haiti,0.0
81,Haiti,Costa Rica,0.00031900001
82,Colombia,Haiti,0.0
83,Haiti,Colombia,1.17
84,Venezuela,Haiti,0.0
85,Haiti,Venezuela,0.02
86,Peru,Haiti,0.0
87,Haiti,Peru,7.0000001e-06
88,Brazil,Haiti,0.0
89,Haiti,Brazil,0.0
90,Argentina,Haiti,0.0
91,Haiti,Argentina,0.003245
92,United Kingdom,Haiti,0.0
93,Haiti,United Kingdom,2.48
94,France,Haiti,0.0
95,Haiti,France,0.16
96,Italy,Haiti,0.0
97,Haiti,Italy,0.0
98,South Africa,Haiti,0.0
99,Haiti,South Africa,0.0
100,Australia,Haiti,0.0
101,Haiti,Australia,6.0000002e-06
102,New Zealand,Haiti,0.0
103,Haiti,New Zealand,1.6e-05
104,Mexico,Dominican Republic,0.0
105,Dominican Republic,Mexico,0.5
106,Nicaragua,Dominican Republic,0.0
107,Dominican Republic,Nicaragua,0.0
108,Costa Rica,Dominican Republic,0.000166
109,Dominican Republic,Costa Rica,1.6e-05
110,Colombia,Dominican Republic,0.0
111,Dominican Republic,Colombia,0.16
112,Venezuela,Dominican Republic,0.0
113,Dominican Republic,Venezuela,0.18000001
114,Peru,Dominican Republic,0.0
115,Dominican Republic,Peru,9.1000002e-05
116,Argentina,Dominican Republic,0.0
117,Dominican Republic,Argentina,0.000208
118,United Kingdom,Dominican Republic,0.0
119,Dominican Republic,United Kingdom,50.43
120,France,Dominican Republic,0.0
121,Dominican Republic,France,0.050000001
122,Italy,Dominican Republic,0.0
123,Dominican Republic,Italy,0.0
124,South Africa,Dominican Republic,0.0
125,Dominican Republic,South Africa,0.0
126,New Zealand,Dominican Republic,0.0
127,Dominican Republic,New Zealand,0.0024359999
